IDNO	LINE	BDNO	BCNO	FR_CODE	FR_SEQ	CAR_FAMILY	CAR_NAME	RS_DATETIME	RF_DATETIME	STAYRESULT
7111230787	1	11979	164	921	J050092	    	CF	2015-11-21 10:38:34.000	2015-11-21 12:23:38.000	60
7111230791	1	12244	428	921	J050138	    	CF	2015-11-23 07:51:22.000	2015-11-23 09:54:20.000	113
7111230795	1	11746	931	921	J050049	    	CF	2015-11-21 06:50:34.000	2015-11-21 07:47:22.000	57
7111230796	1	11933	118	921	J050082	    	CF	2015-11-21 10:23:02.000	2015-11-23 13:33:59.000	9
7111230799	1	12099	283	921	J050113	    	CF	2015-11-21 13:50:14.000	2015-11-23 06:39:28.000	84
7111230802	1	12175	359	921	J050126	    	CF	2015-11-23 14:14:35.000	2015-11-23 15:01:17.000	13
7111230806	1	12345	529	921	J050157	    	CF	2015-11-23 09:44:43.000	2015-11-24 00:11:54.000	109
7111230809	1	12509	692	921	J050187	    	CF	2015-11-23 20:28:13.000	2015-11-23 22:52:54.000	66
7111230810	1	11972	157	921	J050090	    	CF	2015-11-23 09:47:04.000	2015-11-23 10:02:18.000	15
7111230811	1	11790	975	916	J058362	    	CF	2015-11-21 07:51:34.000	2015-11-21 09:21:08.000	80
7111230815	1	11875	060	916	J058383	    	CF	2015-11-21 09:08:16.000	2015-11-21 09:53:51.000	45
7111230825	1	11954	139	921	J050086	    	CF	2015-11-23 11:24:07.000	NULL	NULL
7111230830	1	12140	324	921	J050119	    	CF	2015-11-21 14:33:59.000	2015-11-23 09:35:15.000	207
7111230831	1	11774	959	921	J050056	    	CF	2015-11-21 07:07:59.000	2015-11-21 08:01:21.000	54
7111230832	1	11837	022	921	J050068	    	CF	2015-11-23 08:44:06.000	NULL	NULL
7111230839	1	11793	978	038	J020468	    	SV	2015-11-23 09:15:20.000	2015-11-23 13:23:48.000	193
7111230858	1	11723	908	038	J020465	    	SV	2015-11-21 06:39:00.000	2015-11-21 07:15:59.000	36
7111230862	1	11768	953	038	J020467	    	SV	2015-11-21 07:39:55.000	2015-11-23 08:22:41.000	7
7111230867	1	12253	437	038	J020488	    	SV	2015-11-23 09:50:58.000	2015-11-23 11:26:36.000	51
7111230869	1	12322	506	038	J020491	    	SV	2015-11-23 18:32:27.000	2015-11-23 19:03:57.000	23
7111230875	1	12414	598	038	J020495	    	SV	2015-11-23 13:37:01.000	2015-11-23 14:26:49.000	49
7111230876	1	12367	551	038	J020493	    	SV	2015-11-23 10:09:41.000	2015-11-23 11:57:49.000	63
7111230878	1	12457	641	038	J020497	    	SV	2015-11-23 12:35:49.000	2015-11-23 13:17:40.000	42
7111230879	1	12163	347	985	6007008	    	BW	2015-11-23 07:03:46.000	2015-11-23 08:01:31.000	58
7111230883	1	11669	854	984	6005500	    	BW	2015-11-21 10:10:38.000	2015-11-21 12:06:56.000	71
7111230885	1	11841	026	982	6001148	    	BW	2015-11-23 13:50:15.000	NULL	NULL
7111230887	1	11638	823	982	6001147	    	BW	2015-11-23 06:47:06.000	2015-11-23 09:27:40.000	42
7111230888	1	12023	208	982	6001149	    	BW	2015-11-21 12:24:43.000	2015-11-21 13:15:22.000	51
7111230891	1	11948	133	984	6005502	    	BW	2015-11-23 22:05:36.000	2015-11-24 20:01:26.000	941
7111230896	1	11743	928	988	J107218	    	BX	2015-11-21 07:41:53.000	2015-11-23 13:50:17.000	154
7111230900	1	11807	992	988	J107219	    	BX	2015-11-21 09:33:57.000	2015-11-23 13:09:22.000	3
7111230901	1	12088	272	988	J107223	    	BX	2015-11-23 14:05:40.000	2015-11-23 14:55:44.000	26
7111230903	1	11884	069	988	J107220	    	BX	2015-11-23 10:44:20.000	NULL	NULL
7111230906	1	11818	003	091	4015411	    	CN	2015-11-23 13:43:21.000	NULL	NULL
7111230908	1	11679	864	090	4002818	    	CN	2015-11-23 07:47:10.000	2015-11-23 09:48:25.000	7
7111230910	1	11961	146	083	4005391	    	CN	2015-11-21 10:35:41.000	2015-11-21 12:47:31.000	87
7111230911	1	12073	258	091	4015412	    	CN	2015-11-21 13:31:05.000	2015-11-23 06:42:31.000	102
7111230913	1	11733	918	703	J081821	    	CN	2015-11-21 07:14:50.000	2015-11-21 10:16:05.000	172
7111230916	1	11761	946	703	J081822	    	CN	2015-11-21 07:39:00.000	2015-11-23 10:00:12.000	11
7111230918	1	11931	116	703	J081827	    	CN	2015-11-21 12:56:28.000	2015-11-21 13:07:58.000	11
7111230921	1	11702	887	703	J081820	    	CN	2015-11-21 07:02:06.000	2015-11-21 08:22:53.000	80
7111230924	1	12357	541	703	J081839	    	CN	2015-11-24 00:10:44.000	2015-11-24 01:27:18.000	55
7111230928	1	11789	974	703	J081823	    	CN	2015-11-21 07:37:08.000	2015-11-23 09:47:10.000	21
7111230929	1	12446	630	703	J081842	    	CN	2015-11-23 15:10:12.000	2015-11-23 15:31:22.000	16
7111230938	1	12274	458	703	J081837	    	CN	2015-11-23 08:57:45.000	2015-11-23 09:47:59.000	50
7111240001	1	13303	484	739	0037175	    	CW	2015-11-24 13:19:45.000	2015-11-24 22:10:43.000	30
7111240002	1	12595	778	739	0037159	    	CW	2015-11-23 15:03:29.000	2015-11-23 16:34:17.000	51
7111240003	1	12781	963	739	0037163	    	CW	2015-11-24 08:37:13.000	2015-11-24 09:29:32.000	49
7111240004	1	12745	928	740	0072733	    	CX	2015-11-23 17:33:53.000	2015-11-23 18:23:17.000	50
